Country Code,Country Name,Region,IncomeGroup,SpecialNotes
EST,Estonia,Europe & Central Asia,High income,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
ETH,Ethiopia,Sub-Saharan Africa,Low income,Fiscal year end: July 7; reporting period for national accounts data: FY.
EUU,European Union,,,European Union aggregate.
FCS,Fragile and conflict affected situations,,,"Fragile and conflict affected situations aggregate. Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years. The group excludes IBRD countries (for which the CPIA scores are not publically disclosed); unless there is the presence of a peace-keeping or political/peacebuilding mission. This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept."
FIN,Finland,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
FJI,Fiji,East Asia & Pacific,Upper middle income,
FRA,France,Europe & Central Asia,High income,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
FRO,Faroe Islands,Europe & Central Asia,High income,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised."
GAB,Gabon,Sub-Saharan Africa,Upper middle income,
GBR,United Kingdom,Europe & Central Asia,High income,
GEO,Georgia,Europe & Central Asia,Upper middle income,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas."
GHA,Ghana,Sub-Saharan Africa,Lower middle income,
GIB,Gibraltar,Europe & Central Asia,High income,
GIN,Guinea,Sub-Saharan Africa,Low income,
GMB,"Gambia, The",Sub-Saharan Africa,Low income,
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,
GRC,Greece,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
GRD,Grenada,Latin America & Caribbean,Upper middle income,
GRL,Greenland,Europe & Central Asia,High income,
GTM,Guatemala,Latin America & Caribbean,Upper middle income,
GUM,Guam,East Asia & Pacific,High income,
GUY,Guyana,Latin America & Caribbean,Upper middle income,
HIC,High income,,,"High income group aggregate. High-income economies are those in which 2017 GNI per capita was $12,055 or more."
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying."
HND,Honduras,Latin America & Caribbean,Lower middle income,
HPC,Heavily indebted poor countries (HIPC),,,Heavily indebted poor countries aggregate.
HRV,Croatia,Europe & Central Asia,High income,
HTI,Haiti,Latin America & Caribbean,Low income,Fiscal year end: September 30; reporting period for national accounts data: FY.
HUN,Hungary,Europe & Central Asia,High income,
IBD,IBRD only,,,IBRD only group aggregate.
IBT,IDA & IBRD total,,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only)."
IDA,IDA total,,,IDA total group aggregate (includes IDA only and IDA blend).
IDB,IDA blend,,,IDA blend group aggregate.
IDN,Indonesia,East Asia & Pacific,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.
IDX,IDA only,,,IDA only group aggregate.
IMN,Isle of Man,Europe & Central Asia,High income,
IND,India,South Asia,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: FY.
IRL,Ireland,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,Fiscal year end: March 20; reporting period for national accounts data: FY.
IRQ,Iraq,Middle East & North Africa,Upper middle income,
ISL,Iceland,Europe & Central Asia,High income,
ISR,Israel,Middle East & North Africa,High income,
ITA,Italy,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
JAM,Jamaica,Latin America & Caribbean,Upper middle income,
JOR,Jordan,Middle East & North Africa,Upper middle income,
JPN,Japan,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: CY.
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,
KHM,Cambodia,East Asia & Pacific,Lower middle income,
KIR,Kiribati,East Asia & Pacific,Lower middle income,
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,
KOR,"Korea, Rep.",East Asia & Pacific,High income,
KWT,Kuwait,Middle East & North Africa,High income,
LAC,Latin America & Caribbean (excluding high income),,,
LAO,Lao PDR,East Asia & Pacific,Lower middle income,
LBN,Lebanon,Middle East & North Africa,Upper middle income,
LBR,Liberia,Sub-Saharan Africa,Low income,Pre-2000 data will be revised further for consistency and quality purpose.
LBY,Libya,Middle East & North Africa,Upper middle income,
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,
LCN,Latin America & Caribbean,,,
LDC,Least developed countries: UN classification,,,
LIC,Low income,,,
LIE,Liechtenstein,Europe & Central Asia,High income,
LKA,Sri Lanka,South Asia,Upper middle income,
LMC,Lower middle income,,,
LMY,Low & middle income,,,
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.
LTE,Late-demographic dividend,,,
LTU,Lithuania,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010."
LUX,Luxembourg,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
LVA,Latvia,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010."
MAC,"Macao SAR, China",East Asia & Pacific,High income,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China."
MAF,St. Martin (French part),Latin America & Caribbean,High income,
MAR,Morocco,Middle East & North Africa,Lower middle income,
MCO,Monaco,Europe & Central Asia,High income,
MDA,Moldova,Europe & Central Asia,Lower middle income,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova."
MDG,Madagascar,Sub-Saharan Africa,Low income,
MDV,Maldives,South Asia,Upper middle income,
MEA,Middle East & North Africa,,,Middle East and North Africa regional aggregate (includes all income levels).
MEX,Mexico,Latin America & Caribbean,Upper middle income,
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,Fiscal year ends on September 30; reporting period for national accounts data: FY.
MIC,Middle income,,,"Middle income group aggregate. Middle-income economies are those in which 2017 GNI per capita was between $996 and $12,055."
MKD,North Macedonia,Europe & Central Asia,Upper middle income,
MLI,Mali,Sub-Saharan Africa,Low income,
MLT,Malta,Middle East & North Africa,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010."
MMR,Myanmar,East Asia & Pacific,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: FY.
MNA,Middle East & North Africa (excluding high income),,,
MNE,Montenegro,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005."
MNG,Mongolia,East Asia & Pacific,Lower middle income,
MNP,Northern Mariana Islands,East Asia & Pacific,High income,
MOZ,Mozambique,Sub-Saharan Africa,Low income,
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya)
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,
MWI,Malawi,Sub-Saharan Africa,Low income,
MYS,Malaysia,East Asia & Pacific,Upper middle income,
NAC,North America,,,North America regional aggregate. There are no economies in North America classified as low or middle income.
NAM,Namibia,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.
NCL,New Caledonia,East Asia & Pacific,High income,
NER,Niger,Sub-Saharan Africa,Low income,
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,
NLD,Netherlands,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
NOR,Norway,Europe & Central Asia,High income,
NPL,Nepal,South Asia,Low income,Fiscal year end: July 14; reporting period for national accounts data: FY.
NRU,Nauru,East Asia & Pacific,Upper middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.
NZL,New Zealand,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
OED,OECD members,,,Aggregations include Lithuania.
OMN,Oman,Middle East & North Africa,High income,
OSS,Other small states,,,
PAK,Pakistan,South Asia,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.
PAN,Panama,Latin America & Caribbean,High income,
PER,Peru,Latin America & Caribbean,Upper middle income,
PHL,Philippines,East Asia & Pacific,Lower middle income,
PLW,Palau,East Asia & Pacific,High income,Fiscal year ends on September 30; reporting period for national accounts data: FY.
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,
POL,Poland,Europe & Central Asia,High income,
PRE,Pre-demographic dividend,,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth."
PRI,Puerto Rico,Latin America & Caribbean,High income,Fiscal year end: June 30; reporting period for national accounts data: FY.
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,
PRT,Portugal,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
PRY,Paraguay,Latin America & Caribbean,Upper middle income,
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,
PSS,Pacific island small states,,,Pacific island small states aggregate.
PST,Post-demographic dividend,,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.
PYF,French Polynesia,East Asia & Pacific,High income,
QAT,Qatar,Middle East & North Africa,High income,
ROU,Romania,Europe & Central Asia,Upper middle income,
RUS,Russian Federation,Europe & Central Asia,Upper middle income,
RWA,Rwanda,Sub-Saharan Africa,Low income,
SAS,South Asia,,,
SAU,Saudi Arabia,Middle East & North Africa,High income,
SDN,Sudan,Sub-Saharan Africa,Lower middle income,
SEN,Senegal,Sub-Saharan Africa,Lower middle income,
SGP,Singapore,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,
SLE,Sierra Leone,Sub-Saharan Africa,Low income,
SLV,El Salvador,Latin America & Caribbean,Lower middle income,
SMR,San Marino,Europe & Central Asia,High income,
SOM,Somalia,Sub-Saharan Africa,Low income,
SRB,Serbia,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised."
SSA,Sub-Saharan Africa (excluding high income),,,Sub-Saharan Africa regional aggregate (does not include high-income economies).
SSD,South Sudan,Sub-Saharan Africa,Low income,
SSF,Sub-Saharan Africa,,,Sub-Saharan Africa regional aggregate (includes all income levels).
SST,Small states,,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)"
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD)
SUR,Suriname,Latin America & Caribbean,Upper middle income,
SVK,Slovak Republic,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SVN,Slovenia,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SWE,Sweden,Europe & Central Asia,High income,Fiscal year end: June 30; reporting period for national accounts data: CY.
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,
SYC,Seychelles,Sub-Saharan Africa,High income,
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,
TCD,Chad,Sub-Saharan Africa,Low income,
TEA,East Asia & Pacific (IDA & IBRD),,,East Asia & Pacific (IDA & IBRD countries) aggregate.
TEC,Europe & Central Asia (IDA & IBRD),,,Europe & Central Asia (IDA & IBRD countries) aggregate.
TGO,Togo,Sub-Saharan Africa,Low income,
THA,Thailand,East Asia & Pacific,Upper middle income,Fiscal year end: September 30; reporting period for national accounts data: CY.
TJK,Tajikistan,Europe & Central Asia,Low income,
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,
TLA,Latin America & Caribbean (IDA & IBRD),,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,
TMN,Middle East & North Africa (IDA & IBRD),,,Middle East & North Africa (IDA & IBRD countries) aggregate.
TON,Tonga,East Asia & Pacific,Upper middle income,
TSA,South Asia (IDA & IBRD),,,South Asia (IDA & IBRD countries) aggregate.
TSS,Sub-Saharan Africa (IDA & IBRD),,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,
TUN,Tunisia,Middle East & North Africa,Lower middle income,
TUR,Turkey,Europe & Central Asia,Upper middle income,
TUV,Tuvalu,East Asia & Pacific,Upper middle income,
TZA,Tanzania,Sub-Saharan Africa,Low income,
UGA,Uganda,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: FY.
UKR,Ukraine,Europe & Central Asia,Lower middle income,
UMC,Upper middle income,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2017 GNI per capita was between $3,896 and $12,055."
URY,Uruguay,Latin America & Caribbean,High income,
USA,United States,North America,High income,
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,
VGB,British Virgin Islands,Latin America & Caribbean,High income,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,
VNM,Vietnam,East Asia & Pacific,Lower middle income,
VUT,Vanuatu,East Asia & Pacific,Lower middle income,
WLD,World,,,World aggregate.
WSM,Samoa,East Asia & Pacific,Upper middle income,Fiscal year ends on June 30; reporting period for national accounts data: FY.
XKX,Kosovo,Europe & Central Asia,Upper middle income,
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha."
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,
